"Country","cases","deads","mortality","deadsPER100k","casesPER100k"
"Russia",1305093,22594,1.7,15.64,894.3
"Rwanda",4905,32,0.7,0.26,37.87
"San Marino",741,42,5.7,124.32,2183.84
"Saudi Arabia",339615,5068,1.5,15.04,975.52
"Senegal",15292,315,2.1,1.99,91.33
"Serbia",34854,765,2.2,10.96,398.91
"Sierra Leone",2306,72,3.1,0.94,28.91
"Singapore",57880,28,0,0.5,989.34
"Slovakia",20355,61,0.3,1.12,372.83
"Slovenia",8832,169,1.9,8.17,424.83
"Somalia",3864,99,2.6,0.66,24.31
"South Africa",693359,17863,2.6,30.92,1169.07
"South Korea",24805,434,1.7,0.84,48.38
"South Sudan",2787,55,2,0.5,24.9
"Spain",888968,33124,3.7,70.89,1901.34
"Sri Lanka",4844,13,0.3,0.06,22.62
"Sudan",13691,836,6.1,2,31.22
"Suriname",5058,107,2.1,18.58,862.21
"Sweden",98451,5894,6,57.88,974.83
"Switzerland",64436,2096,3.3,24.61,744.53
"Syria",4774,228,4.8,1.35,27.28
"Taiwan",529,7,1.3,0.03,2.22
"Tajikistan",10260,79,0.8,0.87,107.57
"Tanzania",509,21,4.1,0.04,0.85
"Thailand",3643,59,1.6,0.08,5.22
"Togo",1949,49,2.5,0.62,23.54
"Trinidad and Tobago",5116,92,1.8,6.62,365.56
"Tunisia",32556,478,1.5,4.13,275.46
"Turkey",337147,8895,2.6,10.81,399.75
"Uganda",9864,94,1,0.22,21.56
"Ukraine",272671,5143,1.9,11.53,623.48
"United Arab Emirates",107293,446,0.4,4.63,1084.82
"United Kingdom",620458,42965,6.9,64.62,913.97
"United States",7804199,215085,2.8,65.74,2357.75
"Uruguay",2313,51,2.2,1.48,66.59
"Uzbekistan",61319,509,0.8,1.54,183.21
"Venezuela",83756,704,0.8,2.44,294.54
"Vietnam",1110,35,3.2,0.04,1.14
"Yemen",2052,596,29,2.09,6.88
"Zambia",15549,345,2.2,1.99,84.58
"Zimbabwe",8021,230,2.9,1.59,53.97
